,,,,,,,
ISO 9001:2015 CERTIFIED,,,,,,,
CUSTOMS AND BORDER CONTROL DEPARTMENT,,,,,,,
MODEL,Engine Capacity,Body Type ,Drive configuration,seating,Fuel,GVW,CRSP(KES) 
ALFA ROMEO,,,,,,,
,,,,,,,
330d,2967,SALOON,2WD,,Diesel,,"6,924,559"
330d N57 KK71 KK72,2967,SALOON,2WD,,Diesel,,"7,723,798"
330 ci Convertible,2970,Coupe,2WD,,Petrol,,"6,514,661"
335i N55 DX71 DX72,3500,SALOON,2WD,,Petrol,,"9,001,012"
335i N54 KG71 KG72,3500,SALOON,2WD,,Petrol,,"7,968,602"
335i N54 PM51 PM52,3500,SALOON,2WD,,Petrol,,"7,121,526"
420i se convertible,2000,Coupe,2WD,,Petrol,,"12,206,464"
520i G30 LIM B48 JR12,1998,SALOON,2WD,,Petrol,,"8,371,132"
520d G30LIM B47 JC32,1995,SALOON,2WD,,Diesel,,"8,251,544"
520i F10,2000,SALOON,2WD,,Petrol,,"8,793,317"
520i N20 XG11 XG12,2000,SALOON,2WD,,Petrol,,"6,233,766"
520D N47 FW11/12,2000,SALOON,2WD,,Diesel,,"6,437,191"
520D N47 XA31/32,2000,SALOON,2WD,,Diesel,,"6,910,682"
523i,2300,SALOON,2WD,,Petrol,,"6,524,573"
525i auto,2498,SALOON,2WD,,Petrol,,"7,650,000"
525i manual,2497,SALOON,2WD,,Petrol,,"7,350,000"
525d N47 XA11,2498,SALOON,2WD,,Diesel,,"7,713,200"
528d N20 XG31 XG32,2800,SALOON,2WD,,Diesel,,"8,373,952"
528i N20 XG31 XG32,2800,SALOON,2WD,,Petrol,,"7,020,377"
530d G30 LIM B57,2993,SALOON,2WD,,Diesel,,"10,101,500"
530d N57 FV31,3000,SALOON,2WD,,Petrol,,"8,471,956"
530d N57 XA51/52,3000,SALOON,2WD,,Petrol,,"7,665,363"
530i  G30 LIM B48 Jr32,1998,SALOON,2WD,,Petrol,,"9,925,771"
530d G30 LIM B48 JC92,2993,SALOON,2WD,,Petrol,,"10,643,297"
530i N52 FR11/12,3000,SALOON,2WD,,Petrol,,"7,020,377"
535i N55 FR71 FR72,3500,SALOON,2WD,,Petrol,,"8,529,843"
535i F07 GT N55 SN21/22,3500,SALOON,2WD,,Petrol,,"9,560,937"
535i Xdrive N55 FU71,3500,SALOON,2WD,,Petrol,,"9,412,075"
535d N57 SN61/62,3500,SALOON,2WD,,Petrol,,"9,323,808"
535d N57 SN81/82,3500,SALOON,2WD,,Petrol,,"10,214,632"
540i G30 LIM B58 js12,2998,SALOON,2WD,,Petrol,,"10,762,884"
540i xDrive G30 LIM B58 js32,2998,SALOON,4WD,,Petrol,,"11,360,822"
550i N63 FR91 FR92,5000,SALOON,2WD,,Petrol,,"11,984,118"
550i N63 SN41 SN42,5000,SALOON,2WD,,Petrol,,"12,909,759"
630i  E63 COU N52 EA11 EA12,2996,SALOON,2WD,,Petrol,,"11,082,111"
630i  E64 CAB N52 EA11 EA12,2996,SALOON,2WD,,Petrol,,"11,082,111"
640i F12 CAB N55 LW71/72 CONVERTIBLE,2996,Coupe,2WD,,Petrol,,"14,953,312"
640i F13 COU N55 lw31/32 COUPE,2996,Coupe,2WD,,Petrol,,"12,811,176"
640d F13 COU N57 LX71/72,2996,Coupe,2WD,,Diesel,,"14,533,347"
640d F12 CAB N57 LZ71/72 CONVERTIBLE,2996,Coupe,2WD,,Diesel,,"16,141,260"
650i  N63 F12 CAB LZ31/32 CONVERTIBLE,4800,Coupe,2WD,,Petrol,,"17,590,043"
650i  xDRIVE F12 CAB N63 LZ51 CONVERTIBLE,4800,Coupe,2WD,,Petrol,,"18,231,629"
650i  N63 F13 COU LX31/32,4800,Coupe,2WD,,Petrol,,"15,982,130"
650i  Xdrive N63 F13 COU LX51,4800,Coupe,2WD,,Petrol,,"16,618,299"
730I LCI G11 LIM B48 7R02,1998,SALOON,2WD,,Petrol,,"14,948,450"
730D LCI G11 B12 7S22,2993,SALOON,2WD,,Petrol,,"14,350,512"
730LI LCI G12 LIM B48 7T02,1998,SALOON,2WD,,Petrol,,"15,546,388"
730i F01 LIM N52 KA21,2979,SALOON,2WD,,Petrol,,"12,186,612"
730i F02 LIM N52 KB21 KB2,2979,SALOON,2WD,,Petrol,,"13,424,768"
730d N57 F01 LIM KM21/22,3000,SALOON,2WD,,Diesel,,"12,441,844"
730LD B57 G12 LIM 7V22,2993,SALOON,2WD,,Diesel,,"15,187,625"
730Ld N57 F02 LIM KM41 KM42,3000,SALOON,2WD,,Diesel,,"11,113,985"
735i,3500,SALOON,2WD,,Petrol, ,"15,673,187"
740i LCI B58 G11 LIM 7R22,2998,SALOON,2WD,,Petrol,,"15,797,522"
740i N54 KA41 KA42,4000,SALOON,2WD,,Petrol,,"14,187,825"
740i N55 ,3000,SALOON,2WD,,Petrol,,"14,983,000"
740Li G12LIM B58 7T22,2998,SALOON,2WD,,Petrol,,"16,766,182"
740Li N54 KB41 KB4,4000,SALOON,2WD,,Petrol,,"14,981,485"
745ia,4400,SALOON,2WD,,Petrol,,"15,173,875"
750i Xdrive LCI N63 G11 LIM 7R82,4395,SALOON,4WD,,Petrol,,"20,569,067"
750i Xdrive LCI N63 G12 LIM 7U22,4395,SALOON,4WD,,Petrol,,"21,585,562"
750i N63 F01 LIM KA81 KA82,5000,SALOON,2WD,,Petrol,,"16,018,403"
750i xDRIVE N63 KC61,5000,SALOON,2WD,,Petrol,,"16,330,484"
750Li N63 F02 LIM KB81/82,5000,SALOON,2WD,,Petrol,,"16,734,898"
750Li Xdrive N63 KC81,5000,SALOON,4WD,,Petrol,,"17,011,437"
760i N74 F01 LIM KA01,6000,SALOON,2WD,,Petrol,,"25,068,793"
760Li N74 KB01 KB02,6000,SALOON,2WD,,Petrol,,"26,962,671"
850i xDrive G15 COU N63 BC42,4395,,4WD,,Petrol,,"22,721,644"
CADILLAC,,,,,,,
,,,,,,,
CTS SPORT SEDAN AUTO,3000,SALOON,4WD,,Petrol,,"4,864,979"
CTS V SEDAN MANUAL V8,6200,SALOON,4WD,,Petrol,,"9,495,737"
CTS COUPE AUTO V6 RWD,3600,COUPE,4WD,,Petrol,,"5,720,854"
CTS V COUPE AUTO V8 RWD,6200,COUPE,4WD,,Petrol,,"9,495,737"
CTS SPORTS WAGON MANUAL V8 RWD SUPERCHARGED,6200,S/WAGON,4WD,,Petrol,,"5,720,854"
CTS V WAGON MANUAL V8 RWD SUPERCHARGED,6200,S/WAGON,4WD,,Petrol,,"9,498,775"
STS MANUAL V8 AWD,3600,SALOON,4WD,,Petrol,,"7,050,227"
DTS AUTO V8,4600,SALOON,4WD,,Petrol,,"6,960,757"
SRX CROSSOVER FWD AUTO MANUAL V6,3000,S/WAGON,4WD,,Petrol,,"4,764,322"
ESCALADE V8 AWD AUTO,6200,S/WAGON,4WD,,Petrol,,"9,462,186"
ESCALADE HYBRID AUTO 2WD SFI RWD HYBRID,6000,S/WAGON,4WD,,Petrol,,"11,054,749"
ESCALADE ESV AUTO V8 AWD,6200,S/WAGON,4WD,,Petrol,,"9,853,616"
ESCALADE EXT AUTO V8 AWD,6200,S/WAGON,4WD,,Petrol,,"9,268,863"
CAM,,,,,,,
,,,,,,,
INYATHI,2771,VAN,,14,Petrol,,"1,589,281"
CHEVROLET,,,,,,,
,,,,,,,
Aveo N/B T250,1500,HATCHBACK,2WD,,Petrol,,"1,950,000"
Captiva C140 2.4 MT BASE,2400,SALOON,2WD,,Petrol,,"3,852,000"
Captiva C140 2.4 AT BASE,2400,SALOON,2WD,,Petrol,,"3,978,000"
Captiva C140 2.4 MT DELUXE,2400,SALOON,2WD,,Petrol,,"4,315,000"
Corsa Utility (No AC),1400,P/U,2WD,,Petrol,,"1,773,000"
Corsa Utility (With AC),1400,P/U,2WD,,Petrol,,"1,834,000"
Colorado,3000,DOUBLE  CAB,4WD,,Petrol,,"4,250,000"
Optra Manual,1800,SALOON,2WD,,Petrol,,"2,593,000"
